Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,142.713416,-99.495917,0.0,top
C2,1uF,C_0603_1608Metric,139.728491,-84.875614,180.0,top
C3,10nF,C_0603_1608Metric,146.715547,-88.875912,90.0,top
C4,10uF,C_0603_1608Metric,149.079833,-88.095167,0.0,top
C5,1uF,C_0603_1608Metric,139.728491,-83.2,180.0,top
C6,100nF,C_0603_1608Metric,149.081008,-89.70426,0.0,top
D1,SMBJ18A,D_SMB,152.5,-107.0375,0.0,top
F1,Fuse_Small,R_1206_3216Metric,158.1,-106.9375,90.0,top
J3,Conn_01x04_Socket,"PhoenixContact_MC_1,5_4-GF-3.5_1x04_P3.50mm_Horizontal_ThreadedFlange",150.65,-111.8675,0.0,top
J4,Conn_01x16_Pin,PinHeader_1x16_P2.54mm_Vertical,136.0,-99.95,180.0,top
R10,10k,R_0603_1608Metric,138.751661,-101.528972,-90.0,top
R11,10k,R_0603_1608Metric,139.921454,-97.869562,180.0,top
R12,10k,R_0603_1608Metric,148.220131,-95.887813,90.0,top
R13,27.4k,R_0603_1608Metric,146.987667,-84.017884,-90.0,top
R14,590R,R_0603_1608Metric,145.232881,-84.053768,90.0,top
R15,1.8M,R_0603_1608Metric,158.1,-102.775,90.0,top
R16,100k,R_0603_1608Metric,158.1,-99.675,90.0,top
R2,1.8M,R_0603_1608Metric,147.921489,-102.545,90.0,top
R7,120R,R_0603_1608Metric,139.1,-107.9,90.0,top
R8,10k,R_0603_1608Metric,139.914506,-96.182936,0.0,top
R9,10k,R_0603_1608Metric,139.882618,-94.495489,0.0,top
TH1,3453k,R_0603_1608Metric,148.714085,-84.024362,90.0,top
U1,SN65HVD231,SOIC-8_3.9x4.9mm_P1.27mm,142.466888,-104.133414,-90.0,top
U2,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,147.7,-92.299749,0.0,top
U3,BQ25176J,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,142.978491,-83.745622,90.0,top
U4,TPS1H000-Q1,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,152.551489,-102.725,0.0,top
